name,address,street_address,city,state,zip_code,full_address,source,import_date,import_time
,8633 S Oakview Dr\,8633 S Oakview Dr\,,,,8633 S Oakview Dr\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14807 W 84th St, Lenexa, KS 66215\",14807 W 84th St,Lenexa,KS,66215,"14807 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8355 Oakview Cir\,8355 Oakview Cir\,,,,8355 Oakview Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8507 Hallet St, Lenexa, KS 66215\",8507 Hallet St,Lenexa,KS,66215,"8507 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14225 W 84th Terrace\,14225 W 84th Terrace\,,,,14225 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8425 Hallet St\,8425 Hallet St\,,,,8425 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8337 Acuff Ln, Lenexa, KS 66215\",8337 Acuff Ln,Lenexa,KS,66215,"8337 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8501 Dice Ln, Lenexa, KS 66215\",8501 Dice Ln,Lenexa,KS,66215,"8501 Dice Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8336 Mullen Rd\,8336 Mullen Rd\,,,,8336 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8329 Greenwood Cir\,8329 Greenwood Cir\,,,,8329 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8626 Acuff Ln\,8626 Acuff Ln\,,,,8626 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8507 Darnell St, Lenexa, KS 66215\",8507 Darnell St,Lenexa,KS,66215,"8507 Darnell St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8451 Constance St, Lenexa, KS 66215\",8451 Constance St,Lenexa,KS,66215,"8451 Constance St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8307 Acuff Ln\,8307 Acuff Ln\,,,,8307 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14630 W 85th Terrace\,14630 W 85th Terrace\,,,,14630 W 85th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8523 Hallet St,8523 Hallet St,,,,8523 Hallet St,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8334 Mullen Rd, Lenexa, KS 66215\",8334 Mullen Rd,Lenexa,KS,66215,"8334 Mullen Rd, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8435 Constance St\,8435 Constance St\,,,,8435 Constance St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8311 Mullen Rd\,8311 Mullen Rd\,,,,8311 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8433 Hallet St\,8433 Hallet St\,,,,8433 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8434 Hallet St, Lenexa, KS 66215\",8434 Hallet St,Lenexa,KS,66215,"8434 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8516 Darnell St\,8516 Darnell St\,,,,8516 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8548 S Oakview Dr\,8548 S Oakview Dr\,,,,8548 S Oakview Dr\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8360 Hallet St\,8360 Hallet St\,,,,8360 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14608 W 83rd Terrace, Lenexa, KS 66215\",14608 W 83rd Terrace,Lenexa,KS,66215,"14608 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8401 Greenwood Cir\,8401 Greenwood Cir\,,,,8401 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8515 Darnell St\,8515 Darnell St\,,,,8515 Darnell St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14222 W 84th Terrace, Lenexa, KS 66215\",14222 W 84th Terrace,Lenexa,KS,66215,"14222 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14507 W 86th St\,14507 W 86th St\,,,,14507 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
